,en,es,fr,fa,pt,ur,ug,vi,de,zh,he,ar
en,0.0,0.9,0.9,1.0,0.9,0.9,1.0,1.0,0.4286,1.0,1.0,1.0
es,0.9,0.0,0.4375,1.0,0.2667,0.9231,1.0,1.0,0.8571,1.0,1.0,1.0
fr,0.9,0.4375,0.0,1.0,0.4375,0.9375,1.0,1.0,0.8571,1.0,1.0,1.0
fa,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pt,0.9,0.2667,0.4375,1.0,0.0,0.9333,1.0,1.0,0.8571,1.0,1.0,1.0
ur,0.9,0.9231,0.9375,1.0,0.9333,0.0,1.0,1.0,0.8571,1.0,1.0,1.0
ug,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
vi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
de,0.4286,0.8571,0.8571,1.0,0.8571,0.8571,1.0,1.0,0.0,1.0,1.0,1.0
zh,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
he,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
