,en,es,fr,fa,pt,ur,ug,vi,de,zh,he,ar
en,1.0,0.5126812888476102,0.5584053725798386,0.04093734371651068,0.4138029577766664,0.018718296777880974,0.0036436379224119454,0.029720654425948418,0.47010073587197254,0.06758591126670001,0.01571765378295349,0.024433807244409515
es,0.3386822729847083,1.0,0.5241646214838588,0.03402869548801208,0.5301113838021522,0.015055691901076081,0.003209363790824995,0.02647725127430621,0.46446101566924675,0.059703605814612044,0.013403813479327922,0.023975835378516143
fr,0.3885464307019288,0.5520978325710877,1.0,0.03524557566116524,0.41832372241002186,0.014863790017896202,0.0031815470272419963,0.02679459137005369,0.5052197255915689,0.06313382382183337,0.013422151521177173,0.021326307416981508
fa,0.16527256994519757,0.2079607730025959,0.20449956734929334,1.0,0.173925584078454,0.5047591577732911,0.10066339775021632,0.04413037207960773,0.19584655321603692,0.11652725699451975,0.055379290452841075,0.4811075858090568
pt,0.3787353691231282,0.7344536716144642,0.5502517491662853,0.03942980448571242,1.0,0.0188321454260119,0.00366180605505787,0.034394821160007846,0.4839469038122017,0.06996665140914143,0.01758974694304584,0.02818282874517753
ur,0.11796488068437641,0.1436289959477713,0.13462404322377308,0.7879333633498424,0.12967131922557407,1.0,0.15038271049076993,0.03872129671319226,0.13282305267897343,0.10355695632597929,0.06933813597478614,0.5389464205312922
ug,0.12142857142857143,0.1619047619047619,0.1523809523809524,0.830952380952381,0.13333333333333333,0.7952380952380952,1.0,0.08571428571428572,0.14047619047619048,0.11666666666666667,0.10238095238095238,0.8642857142857143
vi,0.21366204417051873,0.288135593220339,0.2768361581920904,0.07858243451463791,0.2701592193117617,0.044170518746789934,0.01848998459167951,1.0,0.24807395993836673,0.10015408320493066,0.04160246533127889,0.05084745762711865
de,0.3329285569722728,0.49792552114956484,0.5142177696822505,0.03435539364501113,0.37446873102610806,0.014926128314106456,0.002985225662821291,0.024438372799028538,1.0,0.06243675369358429,0.013256425824731835,0.02200971463266545
zh,0.19030376181854758,0.2544759605713136,0.25548179440756386,0.08127137396902032,0.2152484409575538,0.04626835646751157,0.009857171595252465,0.03922751961375981,0.24823979078656205,1.0,0.04687185676926172,0.06819553409776705
he,0.09657594381035997,0.12467076382791922,0.11852502194907814,0.08428446005267778,0.11808604038630377,0.06760316066725197,0.01887620719929763,0.03555750658472344,0.11501316944688324,0.10228270412642669,1.0,0.10623353819139596
ar,0.09930313588850175,0.14750290360046459,0.12456445993031359,0.4843205574912892,0.1251451800232288,0.3475609756097561,0.10540069686411149,0.028745644599303136,0.12630662020905922,0.09843205574912892,0.070267131242741,1.0
