,rho,p_value
ar,0.30569920271880274,0.3338931364506602
de,0.232347656871085,0.4674160627261247
en,0.14855014127823465,0.6449721908219327
es,-0.06718195346951895,0.8356603192566064
fa,-0.2183565733705734,0.4953667595162973
fr,-0.03365809164030446,0.917294527149225
he,0.2183565733705734,0.4953667595162973
pt,0.04478796897967929,0.8900738731297054
ug,-0.13101394402234404,0.6848487144273757
ur,0.33217743659928817,0.29147055352242923
vi,-0.2183565733705734,0.4953667595162973
zh,0.30569920271880274,0.3338931364506602
