train_lang,ar,de,en,es,fa,fr,he,pt,ug,ur,vi,zh
ar,0.9682281347296915,0.7488332626219771,0.6545389336096278,0.7112147975337444,0.7708946256163759,0.7095936907257662,0.6993160723009282,0.6934904851161166,0.6008712487899323,0.5937457787383493,0.5985289086554909,0.4121565362198168
de,0.7138763090857628,0.9693920843687496,0.8731170797800271,0.8835194134310949,0.7573447147060042,0.8817011081162025,0.7689301416707377,0.8988785462401119,0.7272991287512101,0.6972173443198704,0.7523947998631543,0.4559533721898418
en,0.724278233795641,0.9092066185829444,0.9766079540926118,0.891934677553741,0.7665437367919447,0.8987720874513327,0.809802963686696,0.9062807764399403,0.7664085188770571,0.6683101445359989,0.7559014710913445,0.4196502914238135
es,0.7496108123407869,0.9115097884720286,0.8535904997210488,0.9725045825695717,0.797662951145734,0.9386043725666368,0.7665689627096564,0.9385583124185913,0.7665053242981607,0.6925570714575172,0.7884878549435511,0.3563696919233972
fa,0.7950750070761392,0.8203527486514334,0.785247469514625,0.8263622729545076,0.9784113040235363,0.8086253369272237,0.8253541768441622,0.8294627823490167,0.7723136495643756,0.7600972578684317,0.6965446459117345,0.40840965861781847
fr,0.7964194735352391,0.8990241832838354,0.8378496851837093,0.9330944842526245,0.7859777068744044,0.9836278326844364,0.8105357433642729,0.9134288528131652,0.7554695062923523,0.6957314602188303,0.7908826548067054,0.3549542048293089
he,0.8207260118879139,0.7818655676101582,0.8252570335538376,0.8568571904682553,0.8350391579994199,0.8235998802036538,0.9727243120013027,0.8419163198525907,0.7601161665053243,0.7196406862082939,0.7873759835785152,0.582098251457119
pt,0.7111166147749788,0.8308382326201588,0.8430302064238463,0.9187635394100984,0.7560187295404632,0.9213337326544874,0.7916463116756228,0.9782380785970709,0.7636979670861568,0.7116034040253951,0.7736914129319192,0.3273105745212323
ug,0.5371851118030003,0.5292441966179768,0.529090619271539,0.45742376270621565,0.6291385240127626,0.46830388339822304,0.519622211366227,0.4482002732153636,0.8556631171345596,0.5943536404160475,0.5693636674649333,0.44021648626144877
ur,0.689534390036796,0.7836838596278562,0.7286602375069737,0.7449591734710882,0.8257986988770563,0.7254667065987821,0.653232372577756,0.7114400991199924,0.7807357212003873,0.9434013237876536,0.6881628463906945,0.2654454621149043
vi,0.6219572601188791,0.682101945572459,0.7073005499322548,0.6979670054990835,0.6844569676376746,0.708994708994709,0.6447646963035336,0.7641452489119039,0.7751210067763795,0.5697690125624747,0.8906089633937735,0.22173189009159033
zh,0.387701669968865,0.4536032486817383,0.37809835020323584,0.274037660389935,0.4316496084200058,0.33692722371967654,0.4763067904250122,0.3507958191695524,0.565053242981607,0.3083884911522356,0.4392747177557304,0.9548709408825978
