,trained_lang,rho,p_value
0,ar,0.013986013986013986,0.9655902689187795
1,de,-0.06993006993006995,0.8290236405313092
2,en,0.055944055944055944,0.8628980736949712
3,es,-0.04195804195804196,0.8969858708195542
4,fa,0.013986013986013986,0.9655902689187795
5,fr,-0.1258741258741259,0.6966831093957659
6,he,-0.5034965034965035,0.09515736659412469
7,pt,-0.1958041958041958,0.5419358857313175
8,ug,-0.5008764248619176,0.09717377477992865
9,ur,-0.11188811188811189,0.729194990751066
10,vi,0.1188811188811189,0.712884219214772
11,zh,-0.08391608391608392,0.7954145018538977
